Transaction_Amount,Merchant_Category,User_Country,Transaction_Country,Device_Type,Transaction_Day,User_Avg_Spend,User_Transaction_Frequency,status,Is_Fraud
27067,Hotels,China,China,Laptop,Weekend,6753,7,1,Fraud
16167,Bakeries,China,Brazil,Tablet,Weekend,4457,3,1,Fraud
3433,Taxi services,Argentina,Argentina,Mobile,Weekend,3687,2,0,No Fraud
24272,Liquor stores,Australia,South Africa,Mobile,Weekday,6403,9,1,Fraud
7700,Clothing stores,Australia,South Africa,Laptop,Weekday,6671,8,1,Fraud
8296,Taxi services,Kenya,Kenya,Tablet,Weekday,7937,1,0,No Fraud
4221,Clothing stores,Japan,Japan,Tablet,Weekend,4965,2,0,No Fraud
14773,Bakeries,Italy,Nigeria,Mobile,Weekday,3810,8,1,Fraud
21523,Liquor stores,South Korea,South Korea,Mobile,Weekday,6596,1,1,Fraud
5433,Taxi services,Brazil,Brazil,Tablet,Weekend,8113,2,0,No Fraud
2317,Liquor stores,India,India,Tablet,Weekend,3967,2,0,No Fraud
5923,Bakeries,Kenya,Kenya,Laptop,Weekday,8845,2,1,Fraud
15643,Hotels,Japan,Indonesia,Laptop,Weekday,2359,4,1,Fraud
13669,Bakeries,Canada,Pakistan,Laptop,Weekend,2520,2,1,Fraud
15383,Grocery stores,Germany,Germany,Tablet,Weekday,8428,1,0,No Fraud
21859,Adult websites,Italy,Indonesia,Laptop,Weekend,8605,10,1,Fraud
22528,Grocery stores,Russia,South Africa,Laptop,Weekday,7633,4,1,Fraud
8404,Department stores,Nigeria,Nigeria,Tablet,Weekend,9574,1,0,No Fraud
6833,Taxi services,India,Vietnam,Tablet,Weekend,7258,1,1,Fraud
5289,Grocery stores,Canada,Canada,Mobile,Weekend,3307,1,0,No Fraud
13335,Bakeries,France,France,Mobile,Weekend,8960,2,0,No Fraud
3587,Grocery stores,Australia,Australia,Laptop,Weekend,4957,2,0,No Fraud
6375,Bakeries,Russia,Nigeria,Laptop,Weekend,2402,5,1,Fraud
24291,Hotels,Spain,South Africa,Mobile,Weekend,9034,4,1,Fraud
15573,Liquor stores,China,Philippines,Mobile,Weekday,4784,3,1,Fraud
3174,Liquor stores,Japan,Japan,Tablet,Weekend,6312,2,0,No Fraud
22487,Taxi services,Argentina,Russia,Laptop,Weekend,6117,1,1,Fraud
28914,Taxi services,Mexico,South Africa,Tablet,Weekend,7166,2,1,Fraud
9019,Liquor stores,America,Mexico,Tablet,Weekend,5045,5,1,Fraud
3414,Bakeries,Kenya,Kenya,Mobile,Weekend,4761,2,0,No Fraud
14534,Hotels,America,Russia,Laptop,Weekend,3311,5,1,Fraud
11217,Department stores,America,America,Tablet,Weekend,7034,2,0,No Fraud
8200,Bakeries,America,America,Tablet,Weekday,5238,2,0,No Fraud
11203,Airlines,Canada,Mexico,Mobile,Weekday,6624,9,1,Fraud
12425,Clothing stores,South Korea,South Korea,Mobile,Weekend,6413,2,0,No Fraud
1840,Clothing stores,Germany,Germany,Laptop,Weekend,2384,1,1,Fraud
10891,Liquor stores,Italy,Italy,Tablet,Weekend,6147,1,0,No Fraud
20592,Hotels,Spain,Spain,Mobile,Weekday,5010,5,1,Fraud
3471,Clothing stores,India,India,Tablet,Weekday,3664,1,0,No Fraud
29825,Bitcoin exchanges,India,Vietnam,Tablet,Weekday,7091,2,1,Fraud
1774,Bakeries,America,America,Tablet,Weekday,3126,2,0,No Fraud
5595,Grocery stores,Mexico,South Africa,Laptop,Weekend,8644,9,1,Fraud
9921,Department stores,Spain,Spain,Mobile,Weekday,8574,2,0,No Fraud
14680,Hotels,Japan,Philippines,Laptop,Weekday,6130,10,1,Fraud
11671,Bakeries,United Kingdom,Brazil,Tablet,Weekday,5608,2,1,Fraud
3168,Bakeries,Spain,Spain,Laptop,Weekday,4439,2,1,Fraud
27745,Hotels,Spain,Nigeria,Tablet,Weekend,8272,9,1,Fraud
25691,Department stores,Canada,Vietnam,Laptop,Weekday,6472,7,1,Fraud
8811,Taxi services,Spain,Pakistan,Laptop,Weekend,9633,5,1,Fraud
11452,Taxi services,South Korea,South Korea,Tablet,Weekend,6650,1,0,No Fraud
23404,Bakeries,China,Philippines,Mobile,Weekend,4770,9,1,Fraud
8487,Department stores,Germany,Germany,Laptop,Weekday,6219,2,0,No Fraud
15757,Clothing stores,Kenya,Kenya,Tablet,Weekday,8974,1,0,No Fraud
7769,Bakeries,America,America,Laptop,Weekend,6741,2,0,No Fraud
11456,Bakeries,Italy,Italy,Laptop,Weekday,7992,2,1,Fraud
6062,Hotels,Mexico,Brazil,Laptop,Weekend,7940,2,1,Fraud
25879,Liquor stores,Mexico,Vietnam,Mobile,Weekend,2684,6,1,Fraud
5403,Airlines,South Africa,South Africa,Tablet,Weekend,8623,6,1,Fraud
11379,Clothing stores,China,South Africa,Mobile,Weekday,3605,9,1,Fraud
10600,Liquor stores,China,China,Tablet,Weekday,6986,2,0,No Fraud
18755,Grocery stores,Italy,Nigeria,Mobile,Weekday,9219,7,1,Fraud
2737,Department stores,China,China,Laptop,Weekend,4911,1,1,Fraud
25997,Taxi services,China,Russia,Mobile,Weekday,2164,10,1,Fraud
4164,Clothing stores,Brazil,Brazil,Laptop,Weekday,3203,1,0,No Fraud
21360,Bakeries,America,Brazil,Mobile,Weekday,3116,8,1,Fraud
15516,Liquor stores,France,France,Laptop,Weekday,8836,1,1,Fraud
6001,Grocery stores,Japan,Japan,Laptop,Weekend,5082,1,1,Fraud
7621,Bakeries,Kenya,Brazil,Mobile,Weekday,6959,1,1,Fraud
5603,Airlines,South Korea,Mexico,Tablet,Weekday,5338,3,1,Fraud
3657,Taxi services,India,India,Tablet,Weekend,6594,1,0,No Fraud
20417,Bitcoin exchanges,South Africa,South Africa,Laptop,Weekend,2852,9,1,Fraud
23840,Airlines,Kenya,India,Tablet,Weekday,8480,5,1,Fraud
12506,Liquor stores,Australia,Australia,Laptop,Weekday,9289,1,0,No Fraud
23139,Adult websites,Brazil,Mexico,Laptop,Weekday,2204,10,1,Fraud
24305,Taxi services,Argentina,Brazil,Laptop,Weekend,2017,10,1,Fraud
